"url","title","framework","path","github_url"
"http://jsfiddle.net/cscie3/ee26moju/","A simple jQuery filter","jQuery 1.11.0","examples/a-simple-jquery-filter-ee26moju","https://jsfiddle.net/gh/get/jquery/1.11.0/arthurian/e3-jsfiddles/tree/master/examples/a-simple-jquery-filter-ee26moju/"
"http://jsfiddle.net/cscie3/ygjk6ay3/","Alert Demo","No-Library (pure JS)","examples/alert-demo-ygjk6ay3","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/alert-demo-ygjk6ay3/"
"http://jsfiddle.net/cscie3/pL4o1qhw/","Array Object: Built-in Methods ","No-Library (pure JS)","examples/array-object-built-in-methods-pl4o1qhw","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/array-object-built-in-methods-pl4o1qhw/"
"http://jsfiddle.net/cscie3/xfzqvdwh/","Arrays: Differences and Oddities","No-Library (pure JS)","examples/arrays-differences-and-oddities-xfzqvdwh","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/arrays-differences-and-oddities-xfzqvdwh/"
"http://jsfiddle.net/cscie3/746Lgo1n/","Assignment of anonymous function to onkeyup handler","No-Library (pure JS)","examples/assignment-of-anonymous-function-to-onkeyup-handler-746lgo1n","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/assignment-of-anonymous-function-to-onkeyup-handler-746lgo1n/"
"http://jsfiddle.net/cscie3/aresbyfr/","Basic Conditional","No-Library (pure JS)","examples/basic-conditional-aresbyfr","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/basic-conditional-aresbyfr/"
"http://jsfiddle.net/cscie3/2peqLxtk/","Basic for loops","No-Library (pure JS)","examples/basic-for-loops-2peqlxtk","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/basic-for-loops-2peqlxtk/"
"http://jsfiddle.net/cscie3/s1pe2yh2/","Basic for loops","No-Library (pure JS)","examples/basic-for-loops-s1pe2yh2","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/basic-for-loops-s1pe2yh2/"
"http://jsfiddle.net/cscie3/a1na11pj/","Week 13: Basic JWPlayer Embedding","jQuery 1.11.0","examples/basic-jwplayer-embedding-a1na11pj","https://jsfiddle.net/gh/get/jquery/1.11.0/arthurian/e3-jsfiddles/tree/master/examples/basic-jwplayer-embedding-a1na11pj/"
"http://jsfiddle.net/cscie3/ew4v02yj/","Basic Object Properties - 1","No-Library (pure JS)","examples/basic-object-properties-1-ew4v02yj","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/basic-object-properties-1-ew4v02yj/"
"http://jsfiddle.net/cscie3/ypnw68js/","Basic prompt() example","No-Library (pure JS)","examples/basic-prompt-example-ypnw68js","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/basic-prompt-example-ypnw68js/"
"http://jsfiddle.net/cscie3/hbdhgq3v/","Bookmarklets","No-Library (pure JS)","examples/bookmarklets-hbdhgq3v","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/bookmarklets-hbdhgq3v/"
"http://jsfiddle.net/cscie3/6un77yts/","Changing the Prototype Retroactively Changes Other Objects ","No-Library (pure JS)","examples/changing-the-prototype-retroactively-changes-other-objects-6un77yts","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/changing-the-prototype-retroactively-changes-other-objects-6un77yts/"
"http://jsfiddle.net/cscie3/4urxLj0f/","Comparison Operators and Type Coercion","No-Library (pure JS)","examples/comparison-operators-and-type-coercion-4urxlj0f","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/comparison-operators-and-type-coercion-4urxlj0f/"
"http://jsfiddle.net/cscie3/hrxvw79k/","Conditional with Else","No-Library (pure JS)","examples/conditional-with-else-hrxvw79k","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/conditional-with-else-hrxvw79k/"
"http://jsfiddle.net/cscie3/3g701bpb/","console.log demo","No-Library (pure JS)","examples/consolelog-demo-3g701bpb","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/consolelog-demo-3g701bpb/"
"http://jsfiddle.net/cscie3/bhkyqh2L/","Constructor Property and instanceof","No-Library (pure JS)","examples/constructor-property-and-instanceof-bhkyqh2l","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/constructor-property-and-instanceof-bhkyqh2l/"
"http://jsfiddle.net/cscie3/oho547n0/","Creating Objects Using A Constructor Function","No-Library (pure JS)","examples/creating-objects-using-a-constructor-function-oho547n0","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/creating-objects-using-a-constructor-function-oho547n0/"
"http://jsfiddle.net/cscie3/s0wrq587/","Event.target vs Event.currentTarget and Capturing vs Bubbling","No-Library (pure JS)","examples/eventtarget-vs-eventcurrenttarget-and-capturing-vs-bubbling-s0wrq587","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/eventtarget-vs-eventcurrenttarget-and-capturing-vs-bubbling-s0wrq587/"
"http://jsfiddle.net/cscie3/5muvLe3q/","Expression Evaluation as true/false, with nulls, undefined, etc","No-Library (pure JS)","examples/expression-evaluation-as-truefalse-with-nulls-undefined-etc-5muvle3q","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/expression-evaluation-as-truefalse-with-nulls-undefined-etc-5muvle3q/"
"http://jsfiddle.net/cscie3/8zqtLu8s/","$.extend example with object literals","jQuery 1.11.0","examples/extend-example-with-object-literals-8zqtlu8s","https://jsfiddle.net/gh/get/jquery/1.11.0/arthurian/e3-jsfiddles/tree/master/examples/extend-example-with-object-literals-8zqtlu8s/"
"http://jsfiddle.net/cscie3/b4p0gy6m/","Form Handling - Counting Characters","No-Library (pure JS)","examples/form-handling-counting-characters-b4p0gy6m","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/form-handling-counting-characters-b4p0gy6m/"
"http://jsfiddle.net/cscie3/yf9hp60c/","Form Handling - onsubmit","No-Library (pure JS)","examples/form-handling-onsubmit-yf9hp60c","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/form-handling-onsubmit-yf9hp60c/"
"http://jsfiddle.net/cscie3/s00vffqk/","Form Handling - Populating a Select Box","No-Library (pure JS)","examples/form-handling-populating-a-select-box-s00vffqk","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/form-handling-populating-a-select-box-s00vffqk/"
"http://jsfiddle.net/cscie3/4accjq0h/","Form Handling - Showing/Hiding Subsections","No-Library (pure JS)","examples/form-handling-showinghiding-subsections-4accjq0h","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/form-handling-showinghiding-subsections-4accjq0h/"
"http://jsfiddle.net/cscie3/zfw0d4g6/","Form Handling - The Validity Property","No-Library (pure JS)","examples/form-handling-the-validity-property-zfw0d4g6","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/form-handling-the-validity-property-zfw0d4g6/"
"http://jsfiddle.net/cscie3/wnf8oofr/","Function Naming - A Familiar Example: $()","No-Library (pure JS)","examples/function-naming-a-familiar-example-wnf8oofr","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/function-naming-a-familiar-example-wnf8oofr/"
"http://jsfiddle.net/cscie3/erfdw73v/","Function vs. Class in Object Creation","No-Library (pure JS)","examples/function-vs-class-in-object-creation-erfdw73v","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/function-vs-class-in-object-creation-erfdw73v/"
"http://jsfiddle.net/cscie3/52hzuycs/","Functions: Arguments aren't typed ","No-Library (pure JS)","examples/functions-arguments-arent-typed-52hzuycs","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/functions-arguments-arent-typed-52hzuycs/"
"http://jsfiddle.net/cscie3/3q27tftq/","Functions: Can Be Called ""Before"" They are Defined","No-Library (pure JS)","examples/functions-can-be-called-before-they-are-defined-3q27tftq","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/functions-can-be-called-before-they-are-defined-3q27tftq/"
"http://jsfiddle.net/cscie3/wLep660q/","Functions: Can't Skip Over Arguments","No-Library (pure JS)","examples/functions-cant-skip-over-arguments-wlep660q","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/functions-cant-skip-over-arguments-wlep660q/"
"http://jsfiddle.net/cscie3/vt0vxvm8/","Functions: Number of Arguments is Actually Ignored","No-Library (pure JS)","examples/functions-number-of-arguments-is-actually-ignored-vt0vxvm8","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/functions-number-of-arguments-is-actually-ignored-vt0vxvm8/"
"http://jsfiddle.net/cscie3/ss5s9kmz/","Functions: Number of Arguments is not Enforced","No-Library (pure JS)","examples/functions-number-of-arguments-is-not-enforced-ss5s9kmz","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/functions-number-of-arguments-is-not-enforced-ss5s9kmz/"
"http://jsfiddle.net/cscie3/yxb2n72y/","Functions: Return Value is not Enforced","No-Library (pure JS)","examples/functions-return-value-is-not-enforced-yxb2n72y","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/functions-return-value-is-not-enforced-yxb2n72y/"
"http://jsfiddle.net/cscie3/qp3fxhry/","Functions that return values","No-Library (pure JS)","examples/functions-that-return-values-qp3fxhry","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/functions-that-return-values-qp3fxhry/"
"http://jsfiddle.net/cscie3/96shkrgo/","getters and setters in JS classes","No-Library (pure JS)","examples/getters-and-setters-in-js-classes-96shkrgo","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/getters-and-setters-in-js-classes-96shkrgo/"
"http://jsfiddle.net/cscie3/d3deaz71/","HTML5 Video Embed - no JS required","No-Library (pure JS)","examples/html5-video-embed-no-js-required-d3deaz71","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/html5-video-embed-no-js-required-d3deaz71/"
"http://jsfiddle.net/cscie3/sgooupqr/","Inline Event Handler Attachment","No-Library (pure JS)","examples/inline-event-handler-attachment-sgooupqr","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/inline-event-handler-attachment-sgooupqr/"
"http://jsfiddle.net/cscie3/jdqwh25u/","Iterating over an element's child nodes","No-Library (pure JS)","examples/iterating-over-an-elements-child-nodes-jdqwh25u","https://jsfiddle.net/gh/get/library/pure/arthurian/e3-jsfiddles/tree/master/examples/iterating-over-an-elements-child-nodes-jdqwh25u/"
"http://jsfiddle.net/cscie3/q98a7dv6/","jQuery Selectors","jQuery 1.11.0","examples/jquery-selectors-q98a7dv6","https://jsfiddle.net/gh/get/jquery/1.11.0/arthurian/e3-jsfiddles/tree/master/examples/jquery-selectors-q98a7dv6/"
"http://jsfiddle.net/cscie3/7ya0zgz6/","jQuery vs. $","jQuery 1.11.0","examples/jquery-vs-7ya0zgz6","https://jsfiddle.net/gh/get/jquery/1.11.0/arthurian/e3-jsfiddles/tree/master/examples/jquery-vs-7ya0zgz6/"
